contains(rifkin),contains(great),neutralcount,contains(responsibility),contains(inexplicably),contains(work),contains(despicable),contains(passing),contains(generates),contains(performances),contains(ugly),contains(movie),contains(little),contains(rrb),contains(momentum),contains(lrb),contains(hates),contains(lawrence),contains(refuses),contains(characters),contains(s),contains(unremittingly),contains(wonder),contains(crass),contains(deserve),contains(much),positivecount,contains(grade),negativecount,contains(makes),contains(criticism),contains(evaluate),contains(lowwattage),contains(narrative),class
False,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,0,False,False,False,False,False,spos
False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,False,2,False,False,False,True,False,sneg
False,False,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,False,2,False,False,False,False,False,neg
False,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,0,False,False,False,False,False,neu
False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0,False,False,False,False,False,neu
False,True,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,0,False,False,False,False,False,pos
False,False,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,2,False,2,True,True,True,False,False,sneg
False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,False,2,False,False,False,False,False,sneg
False,False,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,False,2,False,False,False,False,True,sneg
True,False,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0,False,0,False,False,False,False,False,neu
